JobID,Title,ExperienceLevel,YearsOfExperience,Skills,Responsibilities,Keywords,combined_job_profile
NET-F-001,net developer,Fresher,0.0,c vb net basics net framework net core fundamentals asp net mvc html css javascript basics sql server entity framework basics linq visual studio git unit testing basics,assist in coding and debugging applications learn and apply net framework and core fundamentals support team in building asp net mvc web applications write basic sql queries and work with entity framework collaborate with peers to solve issues participate in code reviews for learning follow best practices in coding work with version control git,net c asp net mvc entity framework sql server linq visual studio unit testing,c vb net basics net framework net core fundamentals asp net mvc html css javascript basics sql server entity framework basics linq visual studio git unit testing basics net c asp net mvc entity framework sql server linq visual studio unit testing assist in coding and debugging applications learn and apply net framework and core fundamentals support team in building asp net mvc web applications write basic sql queries and work with entity framework collaborate with peers to solve issues participate in code reviews for learning follow best practices in coding work with version control git net developer
NET-F-002,net developer,Fresher,0.0,c net framework basics asp net razor html css javascript basics sql server entity framework basics nunit basics,write simple c programs under guidance support development of asp net mvc applications implement razor views and front end logic assist in database query writing participate in unit testing tasks learn and apply linq for data operations work with mentors for code corrections,net c asp net mvc entity framework sql server razor unit testing,c net framework basics asp net razor html css javascript basics sql server entity framework basics nunit basics net c asp net mvc entity framework sql server razor unit testing write simple c programs under guidance support development of asp net mvc applications implement razor views and front end logic assist in database query writing participate in unit testing tasks learn and apply linq for data operations work with mentors for code corrections net developer
NET-F-003,net developer,Fresher,0.0,c vb net basics net core asp net mvc html css javascript basics sql server git,contribute to development of small modules assist in bug fixing and debugging learn and implement mvc patterns support database integration tasks understand version control basics work on minor testing scripts follow coding standards,net c asp net mvc sql server entity framework git,c vb net basics net core asp net mvc html css javascript basics sql server git net c asp net mvc sql server entity framework git contribute to development of small modules assist in bug fixing and debugging learn and implement mvc patterns support database integration tasks understand version control basics work on minor testing scripts follow coding standards net developer
NET-F-004,net developer,Fresher,0.0,c net framework asp net basics sql server html css linq visual studio,support in software design documentation assist senior developers in testing create small ui components debug and test applications implement basic linq queries participate in code maintenance,net c sql server entity framework asp net,c net framework asp net basics sql server html css linq visual studio net c sql server entity framework asp net support in software design documentation assist senior developers in testing create small ui components debug and test applications implement basic linq queries participate in code maintenance net developer
NET-F-005,net developer,Fresher,0.0,c asp net mvc entity framework basics sql server html css javascript basics,learn to design and build asp net applications assist in connecting apps to sql server work on ui development participate in daily standups write small unit test cases,net c asp net mvc entity framework sql server,c asp net mvc entity framework basics sql server html css javascript basics net c asp net mvc entity framework sql server learn to design and build asp net applications assist in connecting apps to sql server work on ui development participate in daily standups write small unit test cases net developer
NET-F-006,net developer,Fresher,0.0,c net framework asp net razor sql server git nunit basics,assist in razor page development learn version control processes perform debugging under supervision support data access layer coding contribute to testing efforts,net c asp net razor sql server unit testing,c net framework asp net razor sql server git nunit basics net c asp net razor sql server unit testing assist in razor page development learn version control processes perform debugging under supervision support data access layer coding contribute to testing efforts net developer
NET-F-007,net developer,Fresher,0.0,c vb net net core basics asp net mvc html css sql server visual studio,support team in mvc project development help in resolving minor bugs write basic sql queries collaborate with developers for tasks participate in project discussions,net c asp net mvc sql server,c vb net net core basics asp net mvc html css sql server visual studio net c asp net mvc sql server support team in mvc project development help in resolving minor bugs write basic sql queries collaborate with developers for tasks participate in project discussions net developer
NET-F-008,net developer,Fresher,0.0,c net framework basics asp net mvc entity framework basics sql server linq,assist in building backend modules learn and apply entity framework help in writing linq queries support bug fixing write basic documentation,net c asp net mvc entity framework linq sql server,c net framework basics asp net mvc entity framework basics sql server linq net c asp net mvc entity framework linq sql server assist in building backend modules learn and apply entity framework help in writing linq queries support bug fixing write basic documentation net developer
NET-F-009,net developer,Fresher,0.0,c net framework asp net html css sql server,write simple asp net pages collaborate with design team assist in database operations perform code reviews with seniors learn about mvc patterns,net c asp net sql server,c net framework asp net html css sql server net c asp net sql server write simple asp net pages collaborate with design team assist in database operations perform code reviews with seniors learn about mvc patterns net developer
NET-F-010,net developer,Fresher,0.0,c asp net mvc net core basics entity framework basics sql server git,support new feature development assist with application configuration help in database schema setup perform small unit testing tasks follow agile methodology basics,net c asp net mvc entity framework sql server git,c asp net mvc net core basics entity framework basics sql server git net c asp net mvc entity framework sql server git support new feature development assist with application configuration help in database schema setup perform small unit testing tasks follow agile methodology basics net developer
NET-E-011,net developer,Experienced,0.0,c net core asp net mvc sql server entity framework rest apis docker azure,design and develop advanced net applications implement microservices with asp net core manage sql server database performance develop rest apis deploy applications using docker integrate with azure cloud services,net core c asp net mvc microservices azure entity framework rest apis docker,c net core asp net mvc sql server entity framework rest apis docker azure net core c asp net mvc microservices azure entity framework rest apis docker design and develop advanced net applications implement microservices with asp net core manage sql server database performance develop rest apis deploy applications using docker integrate with azure cloud services net developer
NET-E-012,net developer,Experienced,0.0,c asp net core sql server entity framework design patterns solid principles azure devops,architect scalable net core solutions implement design patterns in projects lead database optimization efforts manage ci cd pipelines with azure devops collaborate with cross functional teams,net core c asp net mvc solid azure devops entity framework,c asp net core sql server entity framework design patterns solid principles azure devops net core c asp net mvc solid azure devops entity framework architect scalable net core solutions implement design patterns in projects lead database optimization efforts manage ci cd pipelines with azure devops collaborate with cross functional teams net developer
NET-E-013,net developer,Experienced,0.0,c f net core asp net mvc microservices docker kubernetes azure,develop microservices architecture work with docker and kubernetes for deployment integrate with azure services lead junior developers optimize application performance,net core c microservices docker kubernetes azure,c f net core asp net mvc microservices docker kubernetes azure net core c microservices docker kubernetes azure develop microservices architecture work with docker and kubernetes for deployment integrate with azure services lead junior developers optimize application performance net developer
NET-E-014,net developer,Experienced,0.0,c asp net core webapi signalr sql server nosql entity framework,develop restful apis and real time apps implement signalr for live communication work with sql server and nosql databases lead module development ensure application scalability,net core c asp net mvc webapi signalr entity framework,c asp net core webapi signalr sql server nosql entity framework net core c asp net mvc webapi signalr entity framework develop restful apis and real time apps implement signalr for live communication work with sql server and nosql databases lead module development ensure application scalability net developer
NET-E-015,net developer,Experienced,0.0,c net core asp net mvc blazor angular sql server dapper,develop front end with blazor angular implement repository pattern with dapper optimize sql server queries enhance ui ux for applications mentor junior team members,net core c asp net mvc blazor angular sql server dapper,c net core asp net mvc blazor angular sql server dapper net core c asp net mvc blazor angular sql server dapper develop front end with blazor angular implement repository pattern with dapper optimize sql server queries enhance ui ux for applications mentor junior team members net developer
NET-E-016,net developer,Experienced,0.0,c net core asp net mvc rest apis docker azure devops testing with nunit,develop and maintain microservices create ci cd pipelines ensure testing coverage with nunit deploy apps with docker collaborate with qa team,net core c asp net mvc rest apis docker azure devops nunit,c net core asp net mvc rest apis docker azure devops testing with nunit net core c asp net mvc rest apis docker azure devops nunit develop and maintain microservices create ci cd pipelines ensure testing coverage with nunit deploy apps with docker collaborate with qa team net developer
NET-E-017,net developer,Experienced,0.0,c asp net core webapi grpc sql server azure,build restful and grpc apis integrate services with azure design database schemas monitor system performance provide technical leadership,net core c webapi grpc sql server azure,c asp net core webapi grpc sql server azure net core c webapi grpc sql server azure build restful and grpc apis integrate services with azure design database schemas monitor system performance provide technical leadership net developer
NET-E-018,net developer,Experienced,0.0,c asp net core microservices kubernetes entity framework azure solid principles,design and manage microservices architecture deploy apps on kubernetes clusters ensure best practices with solid principles lead development sprints coordinate with product teams,net core c microservices kubernetes entity framework azure solid,c asp net core microservices kubernetes entity framework azure solid principles net core c microservices kubernetes entity framework azure solid design and manage microservices architecture deploy apps on kubernetes clusters ensure best practices with solid principles lead development sprints coordinate with product teams net developer
